Total Energy Consumption: 7842.55,
Total Price: 246.093,
Hour, Consumption kw
1178,5.86632
1179,5.78243
1180,7.11085
1181,8.23255
1182,8.03384
1183,6.32645
1184,5.80681
1185,6.30702
1186,6.17095
1187,3.63554
1188,3.59758
1189,3.84422
1190,4.60757
1191,4.98304
1192,6.62748
1193,6.35518
1194,3.41668
1195,3.11521
1196,3.09561
1197,3.26541
1198,3.31401
1199,5.48244
1200,5.81012
1201,5.97464
1202,5.98303
1203,5.9444
1204,7.45837
1205,8.93319
1206,8.15889
1207,7.39242
1208,6.82598
1209,5.53163
1210,5.53807
1211,3.50675
1212,3.42819
1213,3.99877
1214,4.60153
1215,4.67136
1216,5.7344
1217,4.19035
1218,3.58625
1219,3.83952
1220,3.31932
1221,4.17605
1222,4.13221
1223,6.78563
1224,8.00811
1225,6.41879
1226,6.12544
1227,7.43423
1228,6.30288
1229,7.54001
1230,8.09599
1231,10.1379
1232,9.31254
1233,7.01074
1234,5.7845
1235,3.43129
1236,3.50926
1237,3.5842
1238,4.10579
1239,4.1427
1240,5.09892
1241,7.11202
1242,7.65961
1243,5.41694
1244,5.93507
1245,4.95284
1246,4.92901
1247,8.94401
1248,7.33187
1249,8.3289
1250,8.21742
1251,11.6662
1252,7.15946
1253,7.99244
1254,8.33755
1255,7.20719
1256,6.66576
1257,6.1715
1258,5.93069
1259,3.66025
1260,3.36612
1261,3.33193
1262,3.3445
1263,3.81098
1264,4.6104
1265,4.02423
1266,3.94548
1267,5.51929
1268,6.2153
1269,5.29025
1270,5.52748
1271,5.97181
1272,5.75228
1273,5.51545
1274,5.44286
1275,9.0702
1276,9.50124
1277,6.74705
1278,7.30696
1279,6.32304
1280,5.98806
1281,5.42646
1282,5.53431
1283,3.18725
1284,3.3696
1285,3.32164
1286,3.2201
1287,3.65308
1288,3.67218
1289,5.90154
1290,5.21509
1291,5.20242
1292,4.78233
1293,3.97079
1294,3.45938
1295,7.75198
1296,7.05384
1297,7.54373
1298,8.15288
1299,9.01029
1300,7.04682
1301,6.40754
1302,6.76532
1303,7.22219
1304,6.55101
1305,6.02364
1306,5.46363
1307,3.16643
1308,2.99667
1309,3.16787
1310,3.0504
1311,3.00276
1312,3.46401
1313,3.83633
1314,4.99039
1315,4.86835
1316,3.66644
1317,4.08397
1318,4.93242
1319,6.7811
1320,6.74142
1321,7.56556
1322,9.45636
1323,9.73082
1324,11.6087
1325,8.89672
1326,9.18758
1327,8.17898
1328,6.90695
1329,6.75567
1330,6.28174
1331,4.35817
1332,4.03039
1333,4.85569
1334,4.9229
1335,5.39395
1336,6.74496
1337,5.03363
1338,4.68133
1339,4.10994
1340,4.02948
1341,4.91056
1342,3.9099
1343,6.28195
